fid,objectid,uid,name,subdistrict,district,state,country,censusname,villagename_locallang,lgd_villagename,lgd_villagecode,lgd_subdistrictcode,lgd_districtcode,lgd_statecode,censuscode2011,premiumdata.sde.VillageBoundary26.area,level_2011,tru_2011,st_area(shape),st_perimeter(shape),Hub distance_fid,Hub distance_objectid,Hub distance_uid,Hub distance_name,Hub distance_subdistrict,Hub distance_district,Hub distance_state,Hub distance_country,Hub distance_censusname,Hub distance_villagename_locallang,Hub distance_lgd_villagename,Hub distance_lgd_villagecode,Hub distance_lgd_subdistrictcode,Hub distance_lgd_districtcode,Hub distance_lgd_statecode,Hub distance_premiumdata.sde.VillageBoundary26.area,Hub distance_level_2011,Hub distance_tru_2011,Hub distance_st_area(shape),Hub distance_st_perimeter(shape),Hub distance_HubName,Hub distance_HubDist,Hub distance_landslide_risk
34,205411,"182862068235390",Baghmora Puwali Pather,Tingkhong,Dibrugarh,Assam,India,Baghmora Puwali Pather,,Baghmora Puwali Pather,292208,2068,286,18,"292208",1.52171571,Village,Rural,1930176.04679993,6422.83909586698,34,205411,"182862068235390",Baghmora Puwali Pather,Tingkhong,Dibrugarh,Assam,India,Baghmora Puwali Pather,,Baghmora Puwali Pather,292208,2068,286,18,1.52171571,Village,Rural,1930176.04679993,6422.83909586698,"18637",348075.681314194,0.49
35,205240,"182862067235959",Baghtali Pather Gaon,Moran,Dibrugarh,Assam,India,Baghtali Pather Gaon,,Baghtali Pather Gaon,291770,2067,286,18,"291770",2.38120081,Village,Rural,3024770.36257466,8730.89713616268,35,205240,"182862067235959",Baghtali Pather Gaon,Moran,Dibrugarh,Assam,India,Baghtali Pather Gaon,,Baghtali Pather Gaon,291770,2067,286,18,2.38120081,Village,Rural,3024770.36257466,8730.89713616268,"18637",329436.525218548,0.229
36,211913,"182862067235960",Baghtoli Bahani,Moran,Dibrugarh,Assam,India,Baghtoli Bahani,,Baghtoli Bahani,291798,2067,286,18,"291798",1.11707622,Village,Rural,1418829.85416531,5725.02478149169,36,211913,"182862067235960",Baghtoli Bahani,Moran,Dibrugarh,Assam,India,Baghtoli Bahani,,Baghtoli Bahani,291798,2067,286,18,1.11707622,Village,Rural,1418829.85416531,5725.02478149169,"18637",328060.416120438,0.21
37,206618,"182862067235970",Baghtoli Sonowal,Moran,Dibrugarh,Assam,India,Baghtoli Sonowal,,Baghtoli Sonowal,291773,2067,286,18,"291773",0.59831704,Village,Rural,760003.923402753,4218.51790669569,37,206618,"182862067235970",Baghtoli Sonowal,Moran,Dibrugarh,Assam,India,Baghtoli Sonowal,,Baghtoli Sonowal,291773,2067,286,18,0.59831704,Village,Rural,760003.923402753,4218.51790669569,"18637",327314.396384419,0.199
38,205157,"182862063234815",Bagibill Gaon,Dibrugarh West,Dibrugarh,Assam,India,Bagibill Gaon,,Bagibill Gaon,291080,2063,286,18,"291080",2.53608999,Village,Rural,3231097.02723817,8007.54221387164,38,205157,"182862063234815",Bagibill Gaon,Dibrugarh West,Dibrugarh,Assam,India,Bagibill Gaon,,Bagibill Gaon,291080,2063,286,18,2.53608999,Village,Rural,3231097.02723817,8007.54221387164,"18637",337048.89532678,0.336
39,205257,"182862068235425",Bahani Ratanpur,Tingkhong,Dibrugarh,Assam,India,Bahani (Ratanpur),,Bahani (Ratanpur),292137,2068,286,18,"292137",1.90467125,Village,Rural,2417890.66779258,6943.84649167261,39,205257,"182862068235425",Bahani Ratanpur,Tingkhong,Dibrugarh,Assam,India,Bahani (Ratanpur),,Bahani (Ratanpur),292137,2068,286,18,1.90467125,Village,Rural,2417890.66779258,6943.84649167261,"18637",349340.777468768,0.508
40,205074,"182862066235154",Bahoni Gaon,Tengakhat,Dibrugarh,Assam,India,1 No. Bahoni Gaon,,Bahoni Gaon,291549,2066,286,18,"291549",0.62003025,Village,Rural,788666.325765839,5124.33319086671,40,205074,"182862066235154",Bahoni Gaon,Tengakhat,Dibrugarh,Assam,India,1 No. Bahoni Gaon,,Bahoni Gaon,291549,2066,286,18,0.62003025,Village,Rural,788666.325765839,5124.33319086671,"18637",377061.953260789,0.896
41,206412,"182862066235155",Bahoni Pather,Tengakhat,Dibrugarh,Assam,India,Bahoni Pather,,Bahoni Pather,291550,2066,286,18,"291550",0.92208299,Village,Rural,1173069.68888926,5813.96869927882,41,206412,"182862066235155",Bahoni Pather,Tengakhat,Dibrugarh,Assam,India,Bahoni Pather,,Bahoni Pather,291550,2066,286,18,0.92208299,Village,Rural,1173069.68888926,5813.96869927882,"18637",377794.864805145,0.906
42,206616,"182862067235957",Bahoni Pather Block Gaon,Moran,Dibrugarh,Assam,India,Bahoni Pather Block Gaon,,Bahoni Pather Block Gaon,291797,2067,286,18,"291797",1.7681838,Village,Rural,2245648.09936681,7020.93901526952,42,206616,"182862067235957",Bahoni Pather Block Gaon,Moran,Dibrugarh,Assam,India,Bahoni Pather Block Gaon,,Bahoni Pather Block Gaon,291797,2067,286,18,1.7681838,Village,Rural,2245648.09936681,7020.93901526952,"18637",326637.650238359,0.19
43,209899,"182862068235451",Bailong Bhati Bailung,Tingkhong,Dibrugarh,Assam,India,Bailong Bhati (Bailung),,Bailong Bhati (Bailung),292068,2068,286,18,"292068",0.87171576,Village,Rural,1107240.99021375,10404.0968248023,43,209899,"182862068235451",Bailong Bhati Bailung,Tingkhong,Dibrugarh,Assam,India,Bailong Bhati (Bailung),,Bailong Bhati (Bailung),292068,2068,286,18,0.87171576,Village,Rural,1107240.99021375,10404.0968248023,"18637",352934.644767347,0.558
44,205075,"182862068235321",Bajipahumara,Tingkhong,Dibrugarh,Assam,India,Bajipahumara,,Bajipahumara,292086,2068,286,18,"292086",4.07542444,Village,Rural,5175858.97011464,10922.2851933193,44,205075,"182862068235321",Bajipahumara,Tingkhong,Dibrugarh,Assam,India,Bajipahumara,,Bajipahumara,292086,2068,286,18,4.07542444,Village,Rural,5175858.97011464,10922.2851933193,"18637",341403.105789843,0.397
45,206764,"182862064234925",Bakulbari,Dibrugarh East,Dibrugarh,Assam,India,Bakulbari 26/147 Orr,,Bakulbari,291285,2064,286,18,"291285",3.62312612,Village,Rural,4619673.80498089,9212.64964496489,45,206764,"182862064234925",Bakulbari,Dibrugarh East,Dibrugarh,Assam,India,Bakulbari 26/147 Orr,,Bakulbari,291285,2064,286,18,3.62312612,Village,Rural,4619673.80498089,9212.64964496489,"18637",352666.1652508,0.554
46,206742,"182862066235171",Bakuloni,Tengakhat,Dibrugarh,Assam,India,Bakuloni No.3,,Bakuloni,291552,2066,286,18,"291552",1.28852641,Village,Rural,1639639.90489492,5887.42900084454,46,206742,"182862066235171",Bakuloni,Tengakhat,Dibrugarh,Assam,India,Bakuloni No.3,,Bakuloni,291552,2066,286,18,1.28852641,Village,Rural,1639639.90489492,5887.42900084454,"18637",378018.96015668,0.909
47,205368,"182862063234713",Bali Gaon,Dibrugarh West,Dibrugarh,Assam,India,Bali Gaon,,Bali Gaon,291210,2063,286,18,"291210",2.37003909,Village,Rural,3013556.00892554,8156.42291196924,47,205368,"182862063234713",Bali Gaon,Dibrugarh West,Dibrugarh,Assam,India,Bali Gaon,,Bali Gaon,291210,2063,286,18,2.37003909,Village,Rural,3013556.00892554,8156.42291196924,"18637",331987.660890702,0.265
48,206581,"182862066235255",Balijan,Tengakhat,Dibrugarh,Assam,India,Balijan 240 Wl,,Balijan,291501,2066,286,18,"291501",2.37982833,Village,Rural,3031220.34837746,10525.5321160223,48,206581,"182862066235255",Balijan,Tengakhat,Dibrugarh,Assam,India,Balijan 240 Wl,,Balijan,291501,2066,286,18,2.37982833,Village,Rural,3031220.34837746,10525.5321160223,"18637",370893.225914787,0.81
49,206711,"182862065235026",Balijan Bangali,Chabua,Dibrugarh,Assam,India,Balijan Bangali,,Balijan Bangali,291389,2065,286,18,"291389",5.29774378,Village,Rural,6764358.93292402,16611.6831335255,49,206711,"182862065235026",Balijan Bangali,Chabua,Dibrugarh,Assam,India,Balijan Bangali,,Balijan Bangali,291389,2065,286,18,5.29774378,Village,Rural,6764358.93292402,16611.6831335255,"18637",371140.677575398,0.813
50,210913,"182862066235253",Balijan Chah Bagan,Tengakhat,Dibrugarh,Assam,India,Balijan Chah Bagan,,Balijan Chah Bagan,291500,2066,286,18,"291500",2.72341596,Village,Rural,3468321.98182913,8248.36925361323,50,210913,"182862066235253",Balijan Chah Bagan,Tengakhat,Dibrugarh,Assam,India,Balijan Chah Bagan,,Balijan Chah Bagan,291500,2066,286,18,2.72341596,Village,Rural,3468321.98182913,8248.36925361323,"18637",369193.867330149,0.786
51,205186,"182862066235286",Balijangaon,Tengakhat,Dibrugarh,Assam,India,Balijangaon,,Balijangaon,291503,2066,286,18,"291503",0.49305746,Village,Rural,627818.665181662,5529.21903248059,51,205186,"182862066235286",Balijangaon,Tengakhat,Dibrugarh,Assam,India,Balijangaon,,Balijangaon,291503,2066,286,18,0.49305746,Village,Rural,627818.665181662,5529.21903248059,"18637",369005.746484901,0.783
52,211470,"182862065235025",Balijan Gaon,Chabua,Dibrugarh,Assam,India,Balijan Gaon,,Balijan Gaon,291408,2065,286,18,"291408",1.0216122,Village,Rural,1304093.57142803,7383.47898140044,52,211470,"182862065235025",Balijan Gaon,Chabua,Dibrugarh,Assam,India,Balijan Gaon,,Balijan Gaon,291408,2065,286,18,1.0216122,Village,Rural,1304093.57142803,7383.47898140044,"18637",370153.239237829,0.799
53,205392,"182862066235287",Balijan Grant,Tengakhat,Dibrugarh,Assam,India,Balijan 173/174 Nlr Grant,,Balijan Grant,291504,2066,286,18,"291504",3.74784779,Village,Rural,4771215.60794373,8971.54091970299,53,205392,"182862066235287",Balijan Grant,Tengakhat,Dibrugarh,Assam,India,Balijan 173/174 Nlr Grant,,Balijan Grant,291504,2066,286,18,3.74784779,Village,Rural,4771215.60794373,8971.54091970299,"18637",368061.788273597,0.77
54,211482,"182862069235634",Balijan Maje,Naharkatiya,Dibrugarh,Assam,India,Balijan Maje,,Balijan Maje,292378,2069,286,18,"292378",1.71500875,Village,Rural,2179008.91670331,6859.96683494369,54,211482,"182862069235634",Balijan Maje,Naharkatiya,Dibrugarh,Assam,India,Balijan Maje,,Balijan Maje,292378,2069,286,18,1.71500875,Village,Rural,2179008.91670331,6859.96683494369,"18637",366895.700513827,0.754
55,205370,"182862069235591",Balijan No 1,Naharkatiya,Dibrugarh,Assam,India,Balijan No.1,,Balijan,292380,2069,286,18,"292380",1.31532418,Village,Rural,1671159.63322427,5698.26996784235,55,205370,"182862069235591",Balijan No 1,Naharkatiya,Dibrugarh,Assam,India,Balijan No.1,,Balijan,292380,2069,286,18,1.31532418,Village,Rural,1671159.63322427,5698.26996784235,"18637",368799.023139554,0.78
56,205426,"182862069235601",Balijan No 2,Naharkatiya,Dibrugarh,Assam,India,Balijan No.2,,Balijan,292377,2069,286,18,"292377",1.65871872,Village,Rural,2107415.15039075,5980.95647357361,56,205426,"182862069235601",Balijan No 2,Naharkatiya,Dibrugarh,Assam,India,Balijan No.2,,Balijan,292377,2069,286,18,1.65871872,Village,Rural,2107415.15039075,5980.95647357361,"18637",365806.467665642,0.738
