fid,objectid,uid,name,subdistrict,district,state,country,censusname,villagename_locallang,lgd_villagename,lgd_villagecode,lgd_subdistrictcode,lgd_districtcode,lgd_statecode,censuscode2011,premiumdata.sde.VillageBoundary26.area,level_2011,tru_2011,st_area(shape),st_perimeter(shape),slope_mean
707,211445,"182862067235893",Kamaldoi Bongali,Moran,Dibrugarh,Assam,India,Kamaldoi Bongali,,Kamaldoi Bongali,291939,2067,286,18,"291939",1.38468118,Village,Rural,1755917.02106582,6811.85335561707,1
708,205129,"182862067235894",Kamaldoi Gaon,Moran,Dibrugarh,Assam,India,Kamaldoi Gaon,,Kamaldoi Gaon,291940,2067,286,18,"291940",1.56021727,Village,Rural,1978579.51466292,5734.72137303224,1
709,205087,"182862068235404",Kamarchuk Bokalial,Tingkhong,Dibrugarh,Assam,India,Kamarchuk Bokalial,,Kamarchuk Bokalial,292197,2068,286,18,"292197",1.79951085,Village,Rural,2281968.85109668,6595.1243828754,
710,205455,"182862063234667",Kamar Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kamar Gaon,,Kamar Gaon,291088,2063,286,18,"291088",4.78545157,Village,Rural,6099897.75280779,13090.3205138658,1
711,211670,"182862069235555",Kamar Gaon,Naharkatiya,Dibrugarh,Assam,India,Kamar Gaon,,Kamar Gaon,292401,2069,286,18,"292401",1.38160864,Village,Rural,1754458.77307025,6120.49933892786,
712,205191,"182862065234954",Kamhatar Habi,Chabua,Dibrugarh,Assam,India,Kamhatar Habi,,Kamhatar Habi,291459,2065,286,18,"291459",4.06714948,Village,Rural,5183314.24314257,10942.059707094,
713,206695,"182862066235147",Kamini T E,Tengakhat,Dibrugarh,Assam,India,Kamini T.E. No.27,,Kamini T.E.,291531,2066,286,18,"291531",0.56853299,Village,Rural,723929.18301164,6525.75375316355,
714,212359,"182862064234947",Kanai Gaon,Dibrugarh East,Dibrugarh,Assam,India,Kanai Gaon,,Kanai Gaon,291274,2064,286,18,"291274",0.71755438,Village,Rural,915833.000707442,4713.80762327458,
715,205514,"182862064234860",Kanai Gaon,Dibrugarh East,Dibrugarh,Assam,India,Kanai Gaon,,Kanai Gaon,291350,2064,286,18,"291350",1.40650514,Village,Rural,1795288.41903745,5318.61501630811,
716,206772,"182862064234910",Kandulibari,Dibrugarh East,Dibrugarh,Assam,India,Kandulibari Grant 4 No.F.S.16 NLR,,Kandulibari,291278,2064,286,18,"291278",8.64852032,Village,Rural,11035543.1733531,20694.826432817,1
717,206476,"182862065234976",Kanjikhowa,Chabua,Dibrugarh,Assam,India,Kanjikhowa,,Kanjikhowa,291431,2065,286,18,"291431",1.547464,Village,Rural,1974698.0580653,6792.48038224459,
718,210665,"182862067235727",Kaowimari No 2,Moran,Dibrugarh,Assam,India,Kaowimari No.2,,Kaowimari,291986,2067,286,18,"291986",0.37730021,Village,Rural,478715.581251019,2810.63854812569,1
719,210857,"182862067236009",Kaowimari No 2,Moran,Dibrugarh,Assam,India,Kaowimari No.2,,Kaowimari,291991,2067,286,18,"291991",1.16733604,Village,Rural,1480994.91592436,5272.36097108662,1
720,205203,"182862066235230",Kapahua Gaon,Tengakhat,Dibrugarh,Assam,India,Kapahua Gaon,,Kapahua Gaon,291652,2066,286,18,"291652",1.87711764,Village,Rural,2389133.54268446,6227.902919652,
721,205297,"182862069235563",Kapohuwa,Naharkatiya,Dibrugarh,Assam,India,Kapohuwa,,Kapohuwa,292387,2069,286,18,"292387",1.11480462,Village,Rural,1416070.35289824,5052.71091293258,
722,205185,"182862063234817",Kapwotepor Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kapwotepor Gaon,,Kapwotepor Gaon,291118,2063,286,18,"291118",3.05009079,Village,Rural,3884502.27666417,8911.89046261006,1
723,209881,"182862068235414",Karangani No 18,Tingkhong,Dibrugarh,Assam,India,Karangani No.18,,Karangani,292170,2068,286,18,"292170",0.78849464,Village,Rural,1000271.39275608,5086.21272757417,
724,205342,"182862068235415",Karangani No 340 Nlr,Tingkhong,Dibrugarh,Assam,India,Karangani No. 340 Nlr,,Karangani,292169,2068,286,18,"292169",1.76918475,Village,Rural,2244495.00593197,7758.87455363017,
725,212329,"182862068235401",Karangani No 72,Tingkhong,Dibrugarh,Assam,India,Karangani No.72,,Karangani,292203,2068,286,18,"292203",0.472356,Village,Rural,599300.630704681,3570.84373104574,
726,206467,"182862067235847",Kashi Pather,Moran,Dibrugarh,Assam,India,Kashi Pather,,Kashi Pather,291883,2067,286,18,"291883",0.7121673,Village,Rural,904183.966784007,6707.0993421906,1
727,205178,"182862065235050",Kasuwani Gaon,Chabua,Dibrugarh,Assam,India,Kasuwani Gaon,,Kasuwani Gaon,291365,2065,286,18,"291365",2.03779348,Village,Rural,2601857.48039587,6880.59069603315,
728,205165,"182862066235082",Kathalani Gaon,Tengakhat,Dibrugarh,Assam,India,Kathalani Gaon,,Kathalani Gaon,291626,2066,286,18,"291626",1.8909226,Village,Rural,2406501.18922143,8440.70724016391,
729,205495,"182862066235140",Kathalguri No 1,Tengakhat,Dibrugarh,Assam,India,Kathalguri No.1,,Kathalguri,291537,2066,286,18,"291537",3.67008492,Village,Rural,4670200.19066963,11869.6120783877,
730,206601,"182862066235142",Kathalguri No 2,Tengakhat,Dibrugarh,Assam,India,Kathalguri No.2,,Kathalguri,291545,2066,286,18,"291545",4.85455518,Village,Rural,6175413.70988675,11751.8692565643,
731,206745,"182862066235173",Kathalguri T E 109,Tengakhat,Dibrugarh,Assam,India,Kathalguri T.E. 109,,Kathalguri T.E.,291542,2066,286,18,"291542",1.68948311,Village,Rural,2149905.34350378,5870.20496422701,
732,206613,"182862066235145",Kathalguri T E 35 Grant,Tengakhat,Dibrugarh,Assam,India,Kathalguri T.E. 35 Grant,,Kathalguri T.E.,291536,2066,286,18,"291536",0.48696284,Village,Rural,619797.519695994,3692.2137500478,
733,206495,"182862066235138",Kathalguri T E 69 Appl,Tengakhat,Dibrugarh,Assam,India,Kathalguri T.E. 69 Appl,,Kathalguri T.E.,291539,2066,286,18,"291539",2.59096144,Village,Rural,3297767.0457401,8604.77672403303,
734,205471,"182862065235027",Kath Gaon,Chabua,Dibrugarh,Assam,India,Kath Gaon,,Kath Gaon,291388,2065,286,18,"291388",0.52129833,Village,Rural,665474.748223994,3414.67343143818,
735,205330,"182862063234677",Kath Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kath Gaon,,Kath Gaon,291098,2063,286,18,"291098",2.32310393,Village,Rural,2960531.01550651,8480.32078224192,1
736,211460,"182862063234833",Kawaimari Gaon,Dibrugarh West,Dibrugarh,Assam,India,Kawaimari Gaon,,Kawaimari Gaon,291071,2063,286,18,"291071",0.55575548,Village,Rural,707685.76887047,4598.07875019413,1
737,206350,"182862069235607",Kawaimari Gaon,Naharkatiya,Dibrugarh,Assam,India,Kawaimari Gaon,,Kawaimari Gaon,292371,2069,286,18,"292371",2.5560913,Village,Rural,3245833.6087582,9369.38231821625,
738,211139,"182862063234709",Kawoimari N C,Dibrugarh West,Dibrugarh,Assam,India,Kawoimari N.C.,,Kawoimari N.C.,291212,2063,286,18,"291212",0.76279832,Village,Rural,969714.709173911,4471.40951848703,0.981443298999796
739,205152,"182862068235387",Kecharuguri,Tingkhong,Dibrugarh,Assam,India,Kecharuguri,,Kecharuguri,292225,2068,286,18,"292225",2.01799395,Village,Rural,2558679.63902333,7760.64450572737,
740,205180,"182862068235377",Kecharuguri No 1,Tingkhong,Dibrugarh,Assam,India,Kecharuguri No.1,,Kecharuguri,292234,2068,286,18,"292234",2.35695475,Village,Rural,2988044.32499883,8779.76822192561,
741,205090,"182862068235376",Kecharuguri No 3,Tingkhong,Dibrugarh,Assam,India,Kecharuguri No.3,,Kecharuguri,292233,2068,286,18,"292233",0.7535144,Village,Rural,955178.98403506,6151.05590097419,
742,206458,"182862068235306",Kekuri,Tingkhong,Dibrugarh,Assam,India,Kekuri No.2,,Kekuri,292103,2068,286,18,"292103",0.59914394,Village,Rural,760695.072813602,3599.52758805551,1
743,205260,"182862068235304",Kekuri Bangali,Tingkhong,Dibrugarh,Assam,India,Kekuri Bangali,,Kekuri Bangali,292101,2068,286,18,"292101",2.40531755,Village,Rural,3054134.97331695,10599.6944232056,1
744,206440,"182862068235310",Kekuri Sonowal,Tingkhong,Dibrugarh,Assam,India,Kekuri Sonowal,,Kekuri Sonowal,292100,2068,286,18,"292100",1.43657522,Village,Rural,1824181.29751245,7720.16197898844,1
745,205197,"182862069235588",Kenduguri Gaon,Naharkatiya,Dibrugarh,Assam,India,Kenduguri Gaon,,Kenduguri Gaon,292388,2069,286,18,"292388",1.4754931,Village,Rural,1874243.61922551,5826.59746214898,
746,211523,"182862066235289",Kenduguri No 1,Tengakhat,Dibrugarh,Assam,India,Kenduguri No.1,,Kenduguri,291635,2066,286,18,"291635",2.52429832,Village,Rural,3209451.65769937,8502.1021112507,
747,206551,"182862066235085",Kenduguri No 2,Tengakhat,Dibrugarh,Assam,India,Kenduguri No.2,,Kenduguri,291634,2066,286,18,"291634",1.39670002,Village,Rural,1776001.53339679,6342.0628424305,
748,211576,"182862068235477",Kenduguri No 2,Tingkhong,Dibrugarh,Assam,India,Kenduguri No.2,,Kenduguri,292013,2068,286,18,"292013",1.24597352,Village,Rural,1584409.82557524,6057.16074211198,
749,205324,"182862066235086",Kenduguri No 3,Tingkhong,Dibrugarh,Assam,India,Kenduguri No.3,,Kenduguri,291633,2068,286,18,"291633",1.89428664,Village,Rural,2408415.65263895,8130.482323153,
750,205256,"182862068235435",Kenduguri T E,Tingkhong,Dibrugarh,Assam,India,Kenduguri T.E.,,Kenduguri T.E.,292081,2068,286,18,"292081",4.38035896,Village,Rural,5560928.60902337,12968.869002537,
751,205063,"182862068235302",Kenya Pather,Tingkhong,Dibrugarh,Assam,India,Kenya Pather No.70,,Kenya Pather,292186,2068,286,18,"292186",2.10007563,Village,Rural,2662986.57271217,7101.26134534666,
752,205252,"182862068235396",Kerang,Tingkhong,Dibrugarh,Assam,India,Kerang,,Kerang,292157,2068,286,18,"292157",1.33758229,Village,Rural,1697216.15704721,8552.34284149732,
753,210957,"182862066235153",Kerekoni Kekuri,Tengakhat,Dibrugarh,Assam,India,Kerekoni No.1 (Kekuri No.1),,Kerekoni (Kekuri),291548,2066,286,18,"291548",0.9013886,Village,Rural,1146585.4703125,7118.73260638756,
754,206343,"182862066235152",Kerkoni Kekuri,Tengakhat,Dibrugarh,Assam,India,Kerkoni No.1 (Kekuri No.2),,Kerkoni (Kekuri),291544,2066,286,18,"291544",0.79025692,Village,Rural,1005190.61813425,4127.08728047684,
755,211447,"182862067235886",Khagarijan,Moran,Dibrugarh,Assam,India,Khagarijan,,Khagarijan,291965,2067,286,18,"291965",0.17983789,Village,Rural,227991.00445071,1972.18313944976,1
756,206771,"182862065235019",Khailabari Bagan Gaon,Chabua,Dibrugarh,Assam,India,Khailabari Bagan Gaon,,Khailabari Bagan Gaon,291437,2065,286,18,"291437",2.70623042,Village,Rural,3451896.74201812,7980.04665746057,
757,206761,"182862064234888",Khanikar Gaon,Dibrugarh East,Dibrugarh,Assam,India,Khanikar Gaon,,Khanikar Gaon,291307,2064,286,18,"291307",2.52605655,Village,Rural,3220458.79997763,8880.90614243203,
758,205314,"182862063234781",Khanikar T E,Dibrugarh West,Dibrugarh,Assam,India,Khanikar T.E.32/31 N.L.R.Grant,,Khanikar T.E.,291102,2063,286,18,"291102",1.36278109,Village,Rural,1736469.09699065,7439.93391964345,1
