village_name_pdf,circle,flood_class,pdf_page
Balimora Chah Bagicha,naharkatiya,Moderate (9-12),164
Pakharijan Gaon,chabua,Moderate (9-12),164
Dhunda Nahur No.1,naharkatiya,Moderate (9-12),164
Niz Rohmoria,chabua,Moderate (9-12),164
Dolonikur Kumar Gaon,dibrugarh west,Moderate (9-12),164
Paniyebura No.1,naharkatiya,Moderate (9-12),164
Nephafu,chabua,Moderate (9-12),164
Chanimari Gaon,dibrugarh west,Moderate (9-12),164
Disang Kiner Bengali,naharkatiya,Moderate (9-12),164
Jugi Pather Gaon,chabua,Moderate (9-12),164
Naloni N.C.,moran,Moderate (9-12),164
Merbil Bhumuk,naharkatiya,Moderate (9-12),164
Kailaberi T.E.,chabua,Moderate (9-12),164
Lukumoni No.2,moran,Moderate (9-12),164
Murhani,naharkatiya,Moderate (9-12),164
Moutani No.2,moran,Moderate (9-12),164
Gariabam Gaon,naharkatiya,Moderate (9-12),164
Dikam Chacha Gaon,chabua,Moderate (9-12),164
Tepujan,moran,Moderate (9-12),164
Basbari Tipling,naharkatiya,Moderate (9-12),164
Teni Kuria,chabua,Moderate (9-12),164
Naloni Doloni-2,moran,Moderate (9-12),164
Balijan No.3,naharkatiya,Moderate (9-12),164
Charai Chungi Gaon,chabua,Moderate (9-12),165
Kunwrijan,naharkatiya,Moderate (9-12),165
Kharikatia Gaon,chabua,Moderate (9-12),165
Moina Block N.C.,moran,Moderate (9-12),165
Khatowa Pather Gaon,naharkatiya,Moderate (9-12),165
Hatikhola Bongali,chabua,Moderate (9-12),165
Niz Khowang Betoni,moran,Moderate (9-12),165
Ikarakata,naharkatiya,Moderate (9-12),165
Charai Chungi Habi Gaon,chabua,Moderate (9-12),165
Bamunbari 50/162 or Grant,moran,Moderate (9-12),165
Disang Kiner Bangali,naharkatiya,Moderate (9-12),165
Bamunia Hiloidhari,chabua,Moderate (9-12),165
Bamunbari No.1 NLR Grant,moran,Moderate (9-12),165
Powali Pather No.1,naharkatiya,Moderate (9-12),165
