village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha
Meleingal Gaon,291310,262.7,1180,244,1,a,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,a,Yes,Yes,a,a,a,Yes,a,Yes,Yes,b,c,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,32.2,0.0,33.6,1.5,3.1,2.0,165.4,0.0,165.4
Habi Chuk,291311,239.1,574,123,1,a,a,a,,,,,,1.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,c,Yes,b,Yes,Yes,b,b,b,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,30.0,0.0,0.0,6.0,4.0,2.0,182.1,0.0,182.1
Tamulbari T.E.,291312,282.8,1181,229,1,a,a,b,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,Yes,c,b,b,Yes,b,b,b,b,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,Yes,No,0.0,32.8,0.0,0.0,1.3,0.0,2.9,228.6,0.0,228.6
Agni Pothar Gaon,291313,219.0,860,171,1,a,a,a,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,a,a,a,a,a,a,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,20.0,0.0,3.0,4.0,0.0,2.0,182.8,0.0,182.8
Jokai T.E. Co 29/143 Orr,291314,199.2,795,160,1,a,a,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,b,a,b,a,a,a,a,a,Yes,a,Yes,Yes,c,b,c,Yes,b,a,Yes,Yes,No,Yes,No,0.0,14.6,0.0,0.0,1.8,3.2,2.0,169.6,0.0,169.6
Timona Gaon,291315,225.1,814,187,1,1,1,b,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,a,a,Yes,a,a,a,a,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,23.0,0.0,0.0,2.0,5.0,3.0,171.1,0.0,171.1
Nunpuria,291316,286.0,567,118,1,b,b,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,b,b,a,a,b,b,b,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,48.0,0.0,0.0,3.0,50.0,2.0,153.0,0.0,153.0
Tamulbari T.E.90/93 Nlr,291317,100.1,562,113,1,a,a,a,,,,,,1.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,c,a,b,a,a,b,b,b,Yes,a,Yes,Yes,c,c,c,a,c,a,Yes,Yes,No,No,No,0.0,7.2,0.0,0.0,1.0,1.9,3.0,83.0,0.0,83.0
Tamulbari T.E.40/43 Nlr,291318,51.3,260,49,1,b,b,b,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,Yes,c,b,b,b,b,b,b,b,Yes,a,Yes,Yes,c,c,c,a,c,Yes,a,Yes,No,No,No,0.0,5.2,0.0,0.0,1.1,0.0,2.0,35.8,0.0,35.8
Tamulbari T.E.43/46 Nlr,291319,96.0,777,149,1,a,a,a,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,b,b,b,b,b,b,b,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,4.7,0.0,0.0,2.0,2.4,1.5,82.3,0.0,82.3
Niz Moderkhat,291320,219.0,578,120,2,a,a,a,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,c,a,b,Yes,Yes,b,b,b,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,99.8,0.0,0.0,7.2,0.0,5.8,90.0,0.0,90.0
Dikom Sessa 15/154 Orr,291321,480.6,2607,563,1,2,1,1,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,b,Yes,Yes,b,b,b,Yes,Yes,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,223.7,0.0,0.0,5.6,0.0,10.0,217.6,0.0,217.6
Dikom Sessa Gaon,291322,724.8,3227,645,3,1,b,c,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,c,Yes,b,b,b,b,b,b,Yes,Yes,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,50.3,0.0,16.2,10.1,10.9,15.2,220.5,0.0,220.5
Bocha Gaon,291323,37.6,1345,269,2,a,a,a,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,b,a,a,b,b,b,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,Yes,No,No,0.0,5.8,0.0,0.0,1.0,2.8,1.9,18.7,0.0,18.7
Alimur Gaon,291324,290.3,1859,360,4,1,1,b,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,c,Yes,b,Yes,Yes,b,b,b,Yes,Yes,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,Yes,No,0.0,50.2,0.0,7.3,1.0,3.0,2.7,185.2,0.0,185.2
26 No.F.S. Grant (Chenglijan),291325,233.8,357,82,1,a,a,a,,,,,,1.0,No,No,No,Yes,No,No,No,Yes,b,c,a,b,Yes,Yes,b,b,b,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,a,No,No,No,No,0.0,102.9,0.0,0.0,0.0,0.0,17.0,95.2,0.0,95.2
Rongliting No.2,291326,47.2,1558,323,2,a,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,a,a,b,b,b,b,Yes,Yes,Yes,Yes,c,c,c,a,c,a,Yes,Yes,No,Yes,No,0.0,5.6,0.0,0.0,0.0,0.0,2.4,36.1,0.0,36.1
Rongpuria,291327,304.0,1538,316,1,2,4,1,,,,,1.0,2.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,Yes,b,Yes,Yes,b,b,b,Yes,Yes,Yes,Yes,Yes,c,c,Yes,c,Yes,Yes,Yes,No,Yes,No,0.0,158.8,0.0,0.0,0.0,0.0,0.0,129.1,0.0,129.1
Chenglijan,291328,236.7,1690,342,2,1,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,b,a,Yes,b,b,b,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,Yes,No,0.0,35.2,0.0,0.0,0.0,5.0,6.0,178.1,0.0,178.1
Moderkhat T.E.,291329,325.4,1317,279,1,a,b,b,,,,,,1.0,Yes,Yes,No,Yes,No,No,No,Yes,Yes,c,a,b,a,Yes,a,a,a,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,Yes,No,0.0,4.2,0.0,0.0,0.4,0.6,0.5,100.0,0.0,100.0
Bhimpara,291330,76.1,149,29,1,a,a,a,,,,,,1.0,No,No,No,Yes,No,No,No,No,b,c,b,b,b,b,b,b,b,Yes,b,Yes,Yes,c,c,c,a,c,a,a,No,No,No,No,0.0,15.0,0.0,0.0,0.0,0.0,2.0,39.1,0.0,39.1
Jilliguri Gaon,291331,207.9,946,198,2,1,b,b,,,1.0,,,1.0,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,c,a,b,b,b,b,b,b,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,40.0,0.0,12.1,2.0,0.0,0.0,148.9,0.0,148.9
Ghograjan,291332,126.7,899,168,1,a,a,a,,,,,,1.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,c,a,c,a,Yes,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,a,Yes,Yes,No,Yes,No,0.0,19.0,0.0,6.5,1.0,3.0,0.0,82.2,0.0,82.2
Romai Gaon,291333,249.3,1048,222,2,a,a,a,,,,,1.0,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,c,Yes,Yes,c,c,c,Yes,b,Yes,Yes,b,c,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,120.1,0.0,15.9,6.1,0.0,0.0,99.2,0.0,99.2
Romai Bongali,291334,185.6,788,167,1,a,a,a,,,1.0,,,1.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,c,Yes,b,Yes,Yes,b,b,b,Yes,b,Yes,Yes,c,c,Yes,Yes,c,Yes,Yes,Yes,No,No,No,0.0,86.0,0.0,0.0,8.0,0.0,0.0,71.5,0.0,71.5
Chiring Hula No.2,291335,147.2,925,190,1,1,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,c,Yes,b,Yes,Yes,b,b,b,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,25.9,0.0,0.0,0.8,3.2,2.2,95.2,0.0,95.2
Chiring Hula No.1,291336,259.7,1103,215,2,3,1,b,,,1.0,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,b,c,Yes,c,c,a,c,c,c,Yes,b,Yes,Yes,c,c,c,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,117.2,0.0,21.7,6.0,0.0,0.0,109.1,0.0,109.1
Nahar Haku Gaon,291337,209.8,699,158,1,b,b,b,,,,,,1.0,Yes,No,No,Yes,No,No,No,Yes,Yes,c,Yes,c,a,a,c,c,c,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,99.6,0.0,13.8,0.0,0.0,6.0,82.3,0.0,82.3
Nahar Haku Block Gaon,291338,33.4,550,115,1,2,b,b,,,,,,1.0,Yes,Yes,No,Yes,No,No,No,Yes,Yes,c,Yes,c,a,a,c,c,c,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,8.4,0.0,0.0,0.3,2.0,0.0,15.5,0.0,15.5
Tepor Chali,291339,228.6,542,107,1,b,b,b,,,,,,1.0,Yes,Yes,No,Yes,No,No,No,Yes,Yes,c,a,c,a,a,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,Yes,No,No,0.0,0.0,98.9,20.8,0.0,0.0,7.1,95.1,0.0,95.1
Garukhunda,291340,160.1,827,180,1,1,1,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,b,c,Yes,Yes,b,b,b,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,Yes,No,No,0.0,32.9,0.0,0.0,2.3,2.6,0.8,80.5,0.0,80.5
123/244 No. NLR. Grant,291341,329.0,1647,335,2,b,b,b,,,,,,1.0,No,Yes,Yes,No,No,Yes,No,No,Yes,c,Yes,c,Yes,Yes,c,c,c,Yes,Yes,Yes,Yes,c,c,c,a,c,a,Yes,Yes,No,Yes,No,0.0,145.2,0.0,0.0,5.0,7.6,0.0,136.3,0.0,136.3
219/217 Nlr Grant,291342,112.9,1629,317,2,b,c,c,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,c,Yes,Yes,c,c,c,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,60.1,0.0,0.0,4.0,0.0,1.6,41.1,0.0,41.1
Phutahula,291343,309.6,1249,267,2,2,1,b,,,1.0,,,1.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,c,b,c,Yes,Yes,c,c,c,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,140.0,0.0,14.2,8.4,0.0,0.0,135.8,0.0,135.8
Saglikata,291344,154.2,1055,219,1,a,b,b,,,1.0,,,1.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,b,b,Yes,b,b,b,b,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,Yes,No,No,0.0,18.4,0.0,6.6,2.0,0.0,0.0,112.2,0.0,112.2
Dangar Pothar No.1,291345,184.6,677,142,2,1,b,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,b,b,b,b,b,b,b,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,26.2,0.0,9.8,2.1,3.2,0.0,126.1,0.0,126.1
Dangar Pothar No.2,291346,95.9,555,118,1,a,b,b,,,,,,1.0,No,No,No,Yes,No,No,No,No,b,c,b,b,b,b,b,b,b,Yes,b,Yes,Yes,c,c,c,Yes,c,a,Yes,No,No,No,No,0.0,13.6,0.0,0.0,1.0,2.0,0.0,63.8,0.0,63.8
Na-Gaon,291347,239.9,989,207,1,a,a,b,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,a,c,Yes,Yes,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,116.1,0.0,14.4,5.1,0.0,0.0,98.2,0.0,98.2
Rajgarh No.2,291348,138.8,268,62,1,a,a,b,,,,,,1.0,No,No,No,Yes,No,No,No,Yes,Yes,c,b,b,b,Yes,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,Yes,a,Yes,No,No,No,0.0,61.8,0.0,1.6,10.0,0.0,0.0,50.8,0.0,50.8
Rajgarh No.1,291349,110.6,973,192,1,a,a,b,,,,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,b,c,Yes,Yes,c,c,c,Yes,a,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,50.7,0.0,0.0,7.6,0.0,0.0,41.1,0.0,41.1
Kanai Gaon,291350,197.4,1034,228,2,1,a,b,,,1.0,,,1.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,c,c,c,Yes,Yes,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,90.3,0.0,8.1,6.2,0.0,0.0,85.8,0.0,85.8
Telpani Block Gaon,291351,63.6,236,48,1,a,a,b,,,,,,1.0,No,No,Yes,Yes,No,No,No,No,b,c,c,c,a,a,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,Yes,a,No,No,No,No,0.0,7.6,0.0,0.0,0.4,0.0,1.3,45.2,0.0,45.2
Juktoli Bam Gaon,291352,131.7,527,101,1,a,a,b,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,c,c,b,c,a,a,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,a,Yes,No,No,No,No,0.0,45.3,0.0,0.0,1.2,3.1,3.2,62.8,0.0,62.8
Basmotia,291353,37.6,164,31,a,a,a,b,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,c,c,Yes,c,a,a,c,c,c,Yes,a,Yes,Yes,c,c,c,Yes,c,b,b,No,No,No,No,0.0,8.1,0.0,0.0,1.0,2.1,2.0,15.4,0.0,15.4
Basmotia T.E.,291354,56.0,434,90,1,a,a,b,,,,,,1.0,No,No,Yes,Yes,No,No,No,Yes,Yes,c,Yes,c,a,a,c,c,c,Yes,a,Yes,Yes,c,c,c,a,c,b,b,Yes,No,No,No,0.0,3.2,0.0,0.0,0.0,0.0,0.0,52.8,0.0,52.8
Laimekuri Chapori,291357,0.0,349,52,1,c,c,c,,,,,,0.0,No,No,No,Yes,Yes,No,No,No,c,c,c,c,c,c,c,c,c,Yes,c,Yes,Yes,c,c,c,a,Yes,b,a,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charkhalia Chapori,291358,2003.5,602,85,1,c,c,c,,,,,,0.0,No,Yes,Yes,No,Yes,No,No,No,c,c,c,c,c,c,c,c,c,Yes,c,Yes,Yes,a,c,c,Yes,Yes,Yes,Yes,No,No,No,No,16.1,0.0,0.0,267.7,0.0,0.0,0.0,1719.7,0.0,1719.7
Charkhalia Chapori,291360,2007.0,516,69,1,c,c,c,,,,,,0.0,Yes,Yes,No,Yes,No,No,No,No,Yes,c,b,c,c,b,c,c,c,Yes,c,Yes,Yes,c,c,c,a,Yes,b,Yes,Yes,No,No,No,0.0,500.0,0.0,0.0,544.0,0.0,0.0,963.0,0.0,963.0
Simal Chapori,291363,0.0,89,23,1,b,b,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,c,a,Yes,b,b,b,c,b,Yes,c,b,Yes,Yes,c,c,c,a,c,Yes,a,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charaki Chapori,291364,0.0,696,97,1,a,a,a,,,,,,0.0,No,No,No,Yes,No,No,No,No,c,b,Yes,b,b,b,c,b,Yes,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasuwani Gaon,291365,179.4,126,25,1,a,a,a,,,1.0,,,0.0,No,No,Yes,No,No,No,No,No,c,c,Yes,c,b,Yes,c,c,Yes,Yes,b,Yes,Yes,c,c,c,a,c,Yes,a,Yes,No,No,No,0.0,24.4,15.0,0.0,0.0,42.0,0.0,57.5,0.0,57.5
Garpara Gaon,291366,212.7,412,79,1,a,a,a,,,,,,0.0,Yes,No,Yes,Yes,No,No,No,No,Yes,c,Yes,c,b,Yes,c,b,Yes,Yes,b,Yes,Yes,c,c,c,a,c,Yes,a,Yes,No,No,No,0.0,25.6,20.8,0.0,0.0,66.0,0.0,100.3,0.0,100.3
Kachuwani Gaon,291367,152.5,690,128,1,1,a,a,,,,,,0.0,No,No,No,Yes,No,No,No,No,Yes,b,Yes,b,b,Yes,b,b,Yes,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,45.1,20.2,15.2,0.0,0.0,0.0,72.1,0.0,72.1
Garapara Konwar,291368,204.2,1154,236,1,c,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,a,c,c,Yes,c,c,c,Yes,b,Yes,Yes,c,c,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,22.8,1.9,15.2,0.0,0.0,0.0,164.3,0.0,164.3
Baratichuk,291369,199.0,1376,265,2,2,1,1,,1.0,,,,1.0,No,Yes,Yes,Yes,No,No,No,No,c,c,Yes,c,c,Yes,c,c,Yes,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,69.2,20.0,0.0,0.0,39.5,0.0,70.3,0.0,70.3
Niz-Rahmoria,291370,290.9,1364,268,4,1,a,a,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,No,Yes,c,Yes,c,b,b,b,b,Yes,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,89.5,0.0,17.5,2.6,0.0,0.0,160.2,0.0,160.2
Rahmoria,291371,247.1,579,118,1,1,1,a,,,,,,0.0,Yes,No,Yes,No,No,No,No,No,Yes,c,c,c,c,a,b,Yes,c,Yes,a,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,5.6,0.0,10.6,0.0,193.6,0.0,37.4,0.0,37.4
Lacachani,291372,177.2,26,7,1,a,a,a,,,,,,0.0,No,No,Yes,No,No,No,No,No,c,c,Yes,b,b,b,b,Yes,Yes,b,b,Yes,a,c,c,c,a,c,Yes,a,Yes,No,No,No,0.0,70.4,0.0,0.0,26.3,0.0,0.0,80.5,0.0,80.5
Genichuk,291373,267.7,1523,323,3,2,a,a,,,1.0,,,1.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,Yes,c,a,a,b,Yes,Yes,Yes,Yes,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,52.4,0.0,14.0,0.0,0.0,0.0,180.3,0.0,180.3
Bagaritolia,291374,184.4,536,120,1,a,a,a,,,1.0,,,0.0,Yes,Yes,No,Yes,No,No,No,No,b,b,Yes,b,a,a,b,Yes,Yes,Yes,b,Yes,Yes,b,b,b,Yes,c,Yes,Yes,Yes,No,No,No,0.0,74.6,0.0,4.0,0.0,0.0,0.0,91.4,0.0,91.4
Barahi-Da-Pathar,291375,279.7,623,124,2,2,1,a,,,,,,0.0,No,Yes,Yes,No,No,No,No,No,Yes,b,Yes,b,a,a,b,Yes,Yes,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,59.2,0.0,0.0,2.4,0.0,0.0,157.7,0.0,157.7
Chamoni Gaon,291376,165.3,863,177,2,1,a,c,,,,,,0.0,No,Yes,Yes,No,No,No,No,No,Yes,c,Yes,b,b,Yes,b,b,Yes,Yes,b,Yes,Yes,c,b,c,a,b,Yes,Yes,Yes,No,No,No,0.0,21.8,6.7,14.8,0.0,0.0,0.0,120.3,0.0,120.3
Lukhurakhania,291377,168.3,589,113,1,a,a,b,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,c,Yes,b,b,Yes,b,b,Yes,Yes,b,Yes,Yes,c,b,c,a,b,Yes,Yes,Yes,No,No,No,0.0,16.2,3.1,0.0,0.0,0.0,0.0,149.0,0.0,149.0
Nakoidhara,291378,195.9,265,54,1,a,a,a,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,b,c,b,Yes,c,a,a,Yes,a,Yes,Yes,c,c,c,a,b,Yes,a,Yes,No,Yes,No,0.0,12.8,0.0,102.6,0.0,0.0,73.6,7.0,0.0,7.0
Chengdhora,291379,223.7,314,67,1,1,b,c,,,1.0,,,0.0,No,Yes,Yes,No,No,No,No,No,Yes,b,Yes,b,b,Yes,b,b,Yes,Yes,b,Yes,Yes,c,c,c,Yes,b,Yes,a,Yes,No,No,No,0.0,14.6,12.7,0.0,0.0,0.0,0.0,67.2,0.0,67.2
Mukalbari T.E.,291380,76.0,3198,663,2,3,1,c,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,No,c,c,Yes,b,b,Yes,b,b,Yes,Yes,Yes,Yes,Yes,c,c,c,c,c,Yes,Yes,Yes,Yes,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,76.0
Chengdhora T.E.,291381,103.0,666,131,1,b,b,c,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,c,Yes,b,b,Yes,b,b,Yes,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,103.0
Phukanar Khat,291382,280.4,884,188,1,b,b,c,,,1.0,,,0.0,Yes,Yes,Yes,No,No,No,No,No,Yes,c,Yes,b,b,Yes,b,b,Yes,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,30.7,9.8,8.2,0.0,0.0,0.0,130.5,0.0,130.5
Maijan,291383,169.5,1619,336,1,2,a,a,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,Yes,b,Yes,Yes,a,a,Yes,Yes,b,Yes,Yes,c,b,c,a,c,Yes,Yes,Yes,No,No,No,0.0,20.9,28.7,8.5,0.0,0.0,0.0,98.8,0.0,98.8
Thanai T.E.,291384,556.0,4732,988,2,3,a,a,,,,,,1.0,Yes,Yes,Yes,No,No,No,No,No,c,c,Yes,b,b,b,b,b,Yes,Yes,Yes,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,125.0,0.0,0.0,204.0,0.0,0.0,227.0,0.0,227.0
Mekahiguri,291385,211.7,140,26,1,,a,a,,,,,,0.0,No,No,Yes,No,No,No,No,No,Yes,b,Yes,b,b,b,b,a,Yes,Yes,b,Yes,Yes,b,b,b,a,c,b,a,Yes,No,No,No,0.0,29.5,0.0,0.0,1.2,0.0,0.0,170.1,0.0,170.1
Thanaichuk,291386,174.1,179,36,2,a,b,b,,,,,,0.0,Yes,No,No,Yes,No,No,No,No,Yes,b,Yes,b,a,b,b,a,Yes,Yes,b,a,Yes,c,b,c,Yes,c,Yes,a,Yes,No,No,No,0.0,15.8,0.0,0.0,0.0,0.0,0.0,149.4,0.0,149.4
Dhopabor Gaon,291387,237.4,743,148,2,2,a,b,,,1.0,,,0.0,Yes,Yes,Yes,No,No,No,No,No,Yes,b,Yes,b,a,a,b,Yes,Yes,Yes,b,Yes,Yes,c,b,a,a,b,Yes,Yes,Yes,No,No,No,0.0,37.7,0.0,11.5,0.0,0.0,0.0,172.8,0.0,172.8
Mohabir Bari,291412,362.8,96,18,1,b,b,b,,,,,,0.0,No,Yes,No,Yes,No,No,No,No,Yes,a,a,a,a,a,c,c,b,b,b,Yes,Yes,c,b,c,Yes,c,Yes,c,Yes,No,No,No,0.0,173.0,0.0,0.0,62.6,0.0,0.0,127.1,0.0,127.1
Mohmara Chapori,291477,0.0,284,45,a,a,a,a,,,,,,0.0,No,No,Yes,No,Yes,No,No,No,b,c,a,a,b,a,a,Yes,a,Yes,a,Yes,Yes,a,a,a,Yes,c,b,c,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rongmala Gaon,291478,362.8,663,124,1,b,b,c,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,b,c,c,c,c,b,c,c,c,Yes,b,Yes,Yes,a,c,a,a,c,Yes,Yes,No,No,No,No,0.0,6.8,0.0,12.5,0.0,133.0,0.0,210.5,0.0,210.5
Kath Gaon,291388,144.0,293,59,1,a,a,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,b,b,b,a,a,b,b,b,Yes,b,Yes,Yes,a,b,a,Yes,c,Yes,a,Yes,No,No,No,0.0,24.4,0.0,0.0,0.0,0.0,0.0,106.4,0.0,106.4
Balijan Bangali,291389,46.6,400,93,1,a,b,b,,,,,,0.0,No,Yes,No,Yes,No,No,No,No,Yes,b,b,b,b,b,b,c,c,Yes,b,Yes,Yes,c,b,c,Yes,b,Yes,a,Yes,No,No,No,0.0,2.9,0.0,0.0,0.0,0.0,0.0,43.7,0.0,43.7
Raidang,291390,1511.0,480,95,1,b,b,c,,,,,,0.0,Yes,No,Yes,Yes,No,No,No,No,Yes,c,c,c,c,c,c,c,c,Yes,a,Yes,Yes,c,b,c,a,b,Yes,Yes,Yes,No,No,No,0.0,5.6,0.0,37.5,0.0,107.1,0.0,1360.8,0.0,1360.8
Piporatoli,291391,114.3,57,13,b,b,b,c,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,b,b,b,b,b,b,Yes,b,b,a,Yes,Yes,c,b,c,a,b,a,a,Yes,No,No,No,0.0,5.5,0.0,0.0,0.0,70.1,0.0,38.6,0.0,38.6
Bindhakota Gaon,291392,264.5,658,130,1,1,1,c,,,,,,0.0,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,c,c,c,Yes,Yes,c,Yes,c,Yes,b,Yes,Yes,c,a,c,a,c,Yes,Yes,Yes,No,No,No,0.0,15.0,0.0,14.3,0.0,100.0,0.0,131.2,0.0,131.2
Muluk Gaon,291393,173.4,113,18,1,a,a,c,,,1.0,,,0.0,Yes,No,Yes,Yes,No,No,No,No,Yes,c,c,c,b,Yes,c,Yes,c,Yes,b,Yes,Yes,c,a,c,a,c,Yes,b,Yes,No,No,No,0.0,13.4,0.0,4.6,0.0,73.0,0.0,78.5,0.0,78.5
