village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha
Rangchali Gaon,291800,48.0,100,20,2,2,b,a,,,1.0,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,b,b,b,b,b,a,b,a,Yes,b,Yes,Yes,b,b,c,a,a,Yes,b,Yes,No,No,No,0.0,12.1,0.0,0.0,0.5,1.5,30.4,0.0,0.0,0.0
Rangchali Block,291801,66.8,157,38,a,a,b,b,,1.0,1.0,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,Yes,b,b,a,b,Yes,Yes,b,Yes,Yes,c,b,c,a,Yes,a,c,Yes,No,No,No,0.0,5.6,0.0,51.3,1.0,0.0,0.2,5.5,0.0,5.5
Khowang 312 No. Nlr Grant,291802,252.7,1281,255,1,a,b,b,,,,,,1.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,c,c,Yes,c,b,b,b,Yes,b,Yes,Yes,c,c,c,a,Yes,Yes,Yes,Yes,No,No,No,0.0,40.2,0.0,0.0,3.5,0.0,1.4,189.9,0.0,189.9
Khowang 319 No. Nlr Grant,291803,103.8,716,144,2,1,c,c,,,,,,0.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,a,c,a,a,a,a,a,Yes,a,Yes,Yes,a,c,c,a,Yes,Yes,Yes,Yes,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.8,0.0,103.8
Ghuguloni Bongali,291804,161.0,649,125,1,1,a,b,,,,,,0.0,No,Yes,Yes,Yes,Yes,No,No,No,Yes,c,b,c,b,b,c,b,a,Yes,b,Yes,Yes,c,c,c,a,Yes,Yes,Yes,Yes,No,No,No,0.0,19.5,1.6,0.0,0.0,2.2,0.0,73.2,0.0,73.2
Borghuguloni,291805,134.8,523,102,1,a,a,c,,,,,,0.0,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,c,b,b,a,b,b,b,a,Yes,a,Yes,Yes,c,c,c,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,22.9,2.8,0.0,0.0,3.0,0.0,62.3,0.0,62.3
Ghuguloni Nepali,291806,284.0,532,107,1,1,b,c,,,,,,0.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,c,b,b,a,a,b,a,b,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,30.0,2.0,0.0,0.0,1.0,0.0,120.8,0.0,120.8
Halmari 20 Darkhasta,291807,70.3,671,130,1,1,b,b,,,,,,0.0,Yes,Yes,Yes,Yes,No,No,Yes,No,b,b,a,b,b,a,b,a,b,Yes,b,Yes,Yes,c,c,c,a,Yes,Yes,Yes,Yes,No,No,No,0.0,10.2,0.8,0.0,0.0,0.4,0.0,33.5,0.0,33.5
Nahorani No.1,291808,43.2,82,20,1,a,a,a,,,,,,0.0,No,Yes,Yes,Yes,No,Yes,No,No,Yes,b,Yes,b,a,a,Yes,Yes,Yes,b,b,a,Yes,c,b,c,a,b,Yes,c,Yes,No,No,No,0.0,0.0,5.0,0.0,0.1,0.0,0.0,36.4,0.0,36.4
Thengal No.1,291809,133.6,128,25,1,b,b,c,,,,,,0.0,No,Yes,Yes,No,No,No,No,No,c,c,c,c,c,c,c,b,b,Yes,b,Yes,Yes,c,c,c,a,Yes,Yes,c,Yes,No,No,No,0.0,6.8,4.5,22.7,0.4,3.2,3.4,80.0,0.0,80.0
